exchange,symbol,underlying_exchange,underlying_product,name,mode,listed_date,listed_notice,delisted_date,delisted_notice,first_listed_contract
DCE,m,DCE,m,豆粕,美式,2017-03-31,http://www.dce.com.cn/dalianshangpin/yw/fw/jystz/ywtz/6032049/index.html,,,1707;1708;1709;1711;1712;1801;1803
CZCE,sr,CZCE,sr,白糖,美式,2017-04-19,http://app.czce.com.cn/cms/cms/commons/downloadaffix.jsp?affix=/cn/rootfiles/2017/04/06/1488807195755074-1488807195757073.pdf,,,1707;1709;1711;1801;1803;1805;1807;1809
SHFE,cu,SHFE,cu,阴极铜,欧式,2018-09-21,http://www.shfe.com.cn/news/notice/911331315.html,,,1901;1902;1903;1904;1905;1906;1907;1908;1909
CZCE,cf,CZCE,cf,棉花,美式,2019-01-28,http://app.czce.com.cn/cms/cms/commons/downloadaffix.jsp?affix=/cn/rootfiles/2019/01/21/1545635253482663-1545635253506773.pdf,,,1905;1907;1909;2001
DCE,c,DCE,c,玉米,美式,2019-01-28,http://www.dce.com.cn/dalianshangpin/yw/fw/jystz/ywtz/6151027/index.html,,,1905;1907;1909;1911;2001
SHFE,ru,SHFE,ru,天然橡胶,美式,2019-01-28,http://www.shfe.com.cn/news/notice/911332894.html,,,1905;1906;1907;1908;1909;1910;1911;2001
DCE,i,DCE,i,铁矿石,美式,2019-12-09,http://www.dce.com.cn/dalianshangpin/yw/fw/jystz/ywtz/6198037/index.html,,,2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
CZCE,ma,CZCE,ma,甲醇,美式,2019-12-16,http://www.czce.com.cn/cn/gyjys/jysdt/ggytz/webinfo/2019/12/1572879952768060.htm,,,2003;2004;2005;2009
CZCE,ta,CZCE,ta,PTA,美式,2019-12-16,http://www.czce.com.cn/cn/gyjys/jysdt/ggytz/webinfo/2019/12/1572879952768060.htm,,,2003;2004;2005;2007;2009
SHFE,au,SHFE,au,黄金,欧式,2019-12-20,http://www.shfe.com.cn/news/notice/911335589.html,,,2004;2006;2008;2010;2012
CFFEX,io,CFFEX,if,沪深300股指,欧式,2019-12-23,http://www.cffex.com.cn/jystz/20191218/24141.html,,,2002;2003;2004;2006;2009;2012
CZCE,rm,CZCE,rm,菜粕,美式,2020-01-16,http://www.czce.com.cn/cn/gyjys/jysdt/ggytz/webinfo/2020/01/1572882462304208.htm,,,2005;2007;2009
DCE,pg,DCE,pg,液化石油气,美式,2020-03-31,http://www.dce.com.cn/dalianshangpin/yw/fw/jystz/ywtz/6210522/index.html,,,2011;2012;2101;2102;2103
CZCE,zc,CZCE,zc,动力煤,美式,2020-06-30,http://www.czce.com.cn/cn/gyjys/jysdt/ggytz/webinfo/2020/06/1593524969593933.htm,,,2009;2010;2011;2101
DCE,pp,DCE,pp,聚丙烯,美式,2020-07-06,http://www.dce.com.cn/dalianshangpin/yw/fw/jystz/ywtz/6225997/index.html,,,2009;2010;2011;2012;2101;2102;2103;2104;2105;2106
DCE,v,DCE,v,聚氯乙烯,美式,2020-07-06,http://www.dce.com.cn/dalianshangpin/yw/fw/jystz/ywtz/6225997/index.html,,,2009;2010;2011;2012;2101;2102;2103;2104;2105;2106
DCE,l,DCE,l,聚乙烯,美式,2020-07-06,http://www.dce.com.cn/dalianshangpin/yw/fw/jystz/ywtz/6225997/index.html,,,2009;2010;2011;2012;2101;2102;2103;2104;2105;2106
SHFE,al,SHFE,al,铝,美式,2020-08-10,http://www.shfe.com.cn/news/notice/911337537.html,,,2010;2011;2012;2101
SHFE,zn,SHFE,zn,锌,美式,2020-08-10,http://www.shfe.com.cn/news/notice/911337537.html,,,2010;2011
INE,sc,INE,sc,原油,美式,2021-06-21,http://www.ine.cn/news/notice/4398.html,,,SC2109;SC2110